sample_id,text,gold,pred,confusion_pair,pred_confidence,gold_from_data,prob_anger,prob_disgust,prob_fear,prob_joy,prob_neutral,prob_sadness,prob_surprise
dia72_utt11,"Yeah, well, y'know maybe you just need to try a little harder!",anger,joy,anger -> joy,0.6576552987098694,anger,0.0872198194265365,0.0071055255830287,0.0082004265859723,0.6576552987098694,0.1917023956775665,0.0447146296501159,0.0034018896985799
dia29_utt0,"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!",anger,joy,anger -> joy,0.6425237059593201,anger,0.2276106178760528,0.0037849580403417,0.0156715083867311,0.6425237059593201,0.0208430849015712,0.0337407626211643,0.0558254308998584
dia73_utt2,No! Ah-ah-ah-ah-ah! You can have this back when the five pages are done!  Ahh!,anger,joy,anger -> joy,0.6285219192504883,anger,0.1787838488817215,0.013562667183578,0.0306689664721488,0.6285219192504883,0.0600517280399799,0.0438952445983886,0.0445156283676624
dia30_utt17,You’ll see!!,anger,joy,anger -> joy,0.6140946745872498,anger,0.1968780905008316,0.0052201431244611,0.0115429423749446,0.6140946745872498,0.1030793711543083,0.0233755186200141,0.0458092913031578
dia73_utt1,Hey!,anger,joy,anger -> joy,0.53883296251297,anger,0.0369196608662605,0.0023739272728562,0.0025952644646167,0.53883296251297,0.2686784863471985,0.0040637147612869,0.1465359330177307
dia56_utt0,"Joey, onstage!",anger,joy,anger -> joy,0.4968448877334595,anger,0.0290836449712514,0.0028807269409298,0.0026986310258507,0.4968448877334595,0.0178125854581594,0.0065175974741578,0.4441619515419006
dia72_utt13,Right here!,anger,joy,anger -> joy,0.4476431608200073,anger,0.3708561658859253,0.0016533089801669,0.0040235416963696,0.4476431608200073,0.1207762509584426,0.0085731334984302,0.0464744307100772
dia30_utt16,I’m gonna make it on my own!,anger,joy,anger -> joy,0.4468168914318084,anger,0.324309378862381,0.002565388334915,0.0794254317879676,0.4468168914318084,0.1097524166107177,0.0271878112107515,0.0099427374079823
dia49_utt7,Get in here.,anger,neutral,anger -> neutral,0.9885834455490112,anger,0.0022821847815066,0.0006988212116993,0.0008627932402305,0.0061503830365836,0.9885834455490112,0.000983175705187,0.0004392438568174
dia5_utt4,The point is I...,anger,neutral,anger -> neutral,0.9817455410957336,anger,0.0078167179599404,0.0008725593797862,0.0015497476560994,0.0049271965399384,0.9817455410957336,0.0027652967255562,0.0003229172143619
dia25_utt5,Would you relax? I know what I am doing. This is how he wears it.,anger,neutral,anger -> neutral,0.972615659236908,anger,0.0100317299365997,0.0061043947935104,0.0031813755631446,0.0024461103603243,0.972615659236908,0.005343438591808,0.0002772095613181
dia17_utt1,Maybe because you’ve got the keys?,anger,neutral,anger -> neutral,0.9705358147621156,anger,0.0058202887885272,0.0005807424895465,0.002793533494696,0.0064025674946606,0.9705358147621156,0.0095589095726609,0.0043081743642687
dia94_utt11,Gimme the bottle.  Gimme the towel.,anger,neutral,anger -> neutral,0.9700528979301452,anger,0.0041361162438988,0.0022448587696999,0.0021900823339819,0.0072723268531262,0.9700528979301452,0.0139171686023473,0.0001866709353635
dia98_utt0,"All right, I just got changed in thirty seconds so you can be alone with him. You'd better go for it.",anger,neutral,anger -> neutral,0.9696987867355348,anger,0.0098594287410378,0.0083715710788965,0.0021985955536365,0.0065139103680849,0.9696987867355348,0.0031771932262927,0.0001805970532586
dia105_utt11,"We are good, interesting, funny people with",anger,neutral,anger -> neutral,0.9668790698051452,anger,0.0042940978892147,0.000992129324004,0.0007001550402492,0.0239356774836778,0.9668790698051452,0.0027761464007198,0.0004228453326504
dia105_utt10,Y’know what Greg?,anger,neutral,anger -> neutral,0.9637827277183532,anger,0.0163290929049253,0.0009861518628895,0.0018799599492922,0.0140394018962979,0.9637827277183532,0.0022860616445541,0.0006966580403968
dia11_utt4,"Rachel Karen Green, where's the other earring?!",anger,neutral,anger -> neutral,0.958238422870636,anger,0.0060018235817551,0.0015436169924214,0.0024065503384917,0.0044186520390212,0.958238422870636,0.0063553294166922,0.0210355371236801
dia16_utt16,"Yeah, we're better off without them.",anger,neutral,anger -> neutral,0.957629144191742,anger,0.0055338046513497,0.0047891112044453,0.0005365220713429,0.0181444827467203,0.957629144191742,0.0130669185891747,0.0003000107535626
dia22_utt6,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",anger,neutral,anger -> neutral,0.9556741118431092,anger,0.0044528734870254,0.0029432661831378,0.0126564111560583,0.0107329348102211,0.9556741118431092,0.0108194714412093,0.002720974618569
dia95_utt2,"Okay, maybe people give out fake numbers, but they don’t give out fake names.",anger,neutral,anger -> neutral,0.9339510202407836,anger,0.0134777454659342,0.0133303953334689,0.0149266868829727,0.0108936559408903,0.9339510202407836,0.0098279556259512,0.0035925793927162
dia40_utt6,"Okay Joey, first of all Kash Ford is not people. Second of all, what did he say when you told him I was pregnant?",anger,neutral,anger -> neutral,0.92943012714386,anger,0.02329190261662,0.0095802349969744,0.0098866764456033,0.0041326875798404,0.92943012714386,0.0095521304756402,0.0141262114048004
dia94_utt9,"Oh, you've tasted it.",anger,neutral,anger -> neutral,0.9259370565414428,anger,0.0059859459288418,0.002597774611786,0.003045491175726,0.0383667238056659,0.9259370565414428,0.0228290352970361,0.0012380749685689
dia27_utt6,"Phoebe, come on, you have to tell us.",anger,neutral,anger -> neutral,0.9126101732254028,anger,0.0082725128158926,0.000687287247274,0.0132269728928804,0.0370513834059238,0.9126101732254028,0.0248168502002954,0.0033348589204251
dia25_utt3,"Ok, this  is the face of a person who, you know, doesn't trust a person.",anger,neutral,anger -> neutral,0.8939725160598755,anger,0.0234361328184604,0.0381770245730876,0.0043990928679704,0.0037039995659142,0.8939725160598755,0.0353099331259727,0.0010013453429564
dia5_utt8,"Alright, fine, you go ahead and you do that, alright Ross.",anger,neutral,anger -> neutral,0.8107684850692749,anger,0.1201881021261215,0.0242923740297555,0.0050414642319083,0.0305800959467887,0.8107684850692749,0.0087361726909875,0.0003933141124434
dia49_utt2,"Look, Carol never threw me out of a room before you came along.",anger,neutral,anger -> neutral,0.7112182378768921,anger,0.1133468672633171,0.0119169410318136,0.0080911638215184,0.0340073332190513,0.7112182378768921,0.1096265837550163,0.0117928171530365
dia76_utt9,"I know, And then all of the sudden your Mom pops into your head.",anger,neutral,anger -> neutral,0.6980695128440857,anger,0.053364984691143,0.0050809904932975,0.0080281971022486,0.1377943754196167,0.6980695128440857,0.0620682165026664,0.0355937518179416
dia11_utt8,Tell her to wear her own earrings.,anger,neutral,anger -> neutral,0.6883313059806824,anger,0.0477209351956844,0.1131496801972389,0.0027700213249772,0.0472076423466205,0.6883313059806824,0.0985036864876747,0.0023167871404439
dia82_utt3,"Yeah, he doesn’t like me.",anger,sadness,anger -> sadness,0.9139244556427002,anger,0.0297143124043941,0.0080717522650957,0.0104036852717399,0.0051179071888327,0.0302658360451459,0.9139244556427002,0.0025020567700266
dia49_utt0,Please. This is so your fault.,anger,sadness,anger -> sadness,0.8384914994239807,anger,0.0622989833354949,0.0228050909936428,0.0297980364412069,0.0204182155430316,0.024521792307496,0.8384914994239807,0.0016663940623402
dia7_utt7,"I mean she’s a very nice woman, but there is no way we can take eight weeks of her.",anger,sadness,anger -> sadness,0.8342472314834595,anger,0.0225038919597864,0.1009005531668663,0.0065721990540623,0.0130220353603363,0.0220092236995697,0.8342472314834595,0.0007448203978128
dia72_utt12,"Look, maybe I need to try a real teacher!",anger,sadness,anger -> sadness,0.625699520111084,anger,0.2004160284996032,0.046151764690876,0.0212507657706737,0.0544100366532802,0.0447239652276039,0.625699520111084,0.0073478794656693
dia19_utt4,"My son is being born, and I should be in there, you know, instead of stuck in a closet with you.",anger,sadness,anger -> sadness,0.542279839515686,anger,0.316843718290329,0.0180714130401611,0.0094694895669817,0.0455075092613697,0.0645550116896629,0.542279839515686,0.0032730705570429
dia1_utt11,"I-I’m sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.",anger,sadness,anger -> sadness,0.5186775922775269,anger,0.1143913939595222,0.2505759298801422,0.0789207816123962,0.0221021678298711,0.013973070308566,0.5186775922775269,0.0013590065063908
dia25_utt0,"All right, that's it, I quit.",anger,sadness,anger -> sadness,0.384024977684021,anger,0.2527419328689575,0.0464176312088966,0.0093135274946689,0.1740642488002777,0.1288578510284423,0.384024977684021,0.0045797559432685
dia5_utt6,"It, it's too late, I'm with somebody else, I'm happy.",anger,sadness,anger -> sadness,0.3491154611110687,anger,0.3041009306907654,0.0163018889725208,0.0244132913649082,0.1512006074190139,0.1538960486650467,0.3491154611110687,0.0009717236389406
dia88_utt4,Okay—Oop! Too late! I’m leaving! Come on Chandler let’s go!,anger,sadness,anger -> sadness,0.3281273245811462,anger,0.2587764859199524,0.0762719586491584,0.0661141872406005,0.1456097811460495,0.0649329721927642,0.3281273245811462,0.0601673386991024
dia16_utt11,"That’s all right, we-we don’t need you. In fact, hey I’m over it already.",anger,sadness,anger -> sadness,0.3251071572303772,anger,0.276622474193573,0.0654448866844177,0.0721615180373191,0.0979468375444412,0.1609175652265548,0.3251071572303772,0.0017995802918449
dia90_utt5,"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?",anger,surprise,anger -> surprise,0.9860954880714417,anger,0.0027814577333629,0.0040572355501353,0.0014033344341441,0.0017501277616247,0.0023269599769264,0.0015853233635425,0.9860954880714417
dia91_utt4,What is the big deal?,anger,surprise,anger -> surprise,0.9734395742416382,anger,0.0049663577228784,0.0029757521115243,0.0024374325294047,0.0049173249863088,0.0086552472785115,0.0026082100812345,0.9734395742416382
dia92_utt8,"Oh my God, Phoebe,",anger,surprise,anger -> surprise,0.9640562534332277,anger,0.004420475102961,0.0037704335991293,0.007224965840578,0.0099801933392882,0.0023824998643249,0.0081651965156197,0.9640562534332277
dia92_utt9,"Wow! Oh my God, well if they’ve ripped off our table ours must be much more than one and fifty dollars!",anger,surprise,anger -> surprise,0.9380462169647216,anger,0.0209125597029924,0.025366123765707,0.0029001799412071,0.0036931303329765,0.0016921052010729,0.007389691658318,0.9380462169647216
dia19_utt13,Who am I?,anger,surprise,anger -> surprise,0.8565396070480347,anger,0.0151127679273486,0.0019235297804698,0.0050603374838829,0.0097175352275371,0.1048049554228782,0.006841255351901,0.8565396070480347
dia42_utt0,Ah! Ah! I forgot my jacket!,anger,surprise,anger -> surprise,0.8365272283554077,anger,0.0089608309790492,0.0023457820061594,0.0085542406886816,0.0398471914231777,0.0793415307998657,0.0244232416152954,0.8365272283554077
dia72_utt10,"Your other student, was you!",anger,surprise,anger -> surprise,0.834851861000061,anger,0.1162068247795105,0.0035681964363902,0.0044824983924627,0.0048247915692627,0.0194021873176097,0.0166636779904365,0.834851861000061
dia10_utt6,Oh what? Like your Mr. Cop!,anger,surprise,anger -> surprise,0.8105561137199402,anger,0.1106081157922744,0.0198522340506315,0.0019101341022178,0.0242114122956991,0.0168232731521129,0.016038766130805,0.8105561137199402
dia49_utt9,"My god, you guys, I don't believe you.",anger,surprise,anger -> surprise,0.810460090637207,anger,0.0332609601318836,0.0981365367770195,0.0180245544761419,0.0146413147449493,0.0044796369038522,0.020996930077672,0.810460090637207
dia108_utt3,Ow!,anger,surprise,anger -> surprise,0.794854462146759,anger,0.0378035753965377,0.0714761614799499,0.006001444067806,0.0466514788568019,0.0143669536337256,0.0288459546864032,0.794854462146759
dia108_utt4,Ow!,anger,surprise,anger -> surprise,0.794854462146759,anger,0.0378035753965377,0.0714761614799499,0.006001444067806,0.0466514788568019,0.0143669536337256,0.0288459546864032,0.794854462146759
dia108_utt5,Ow!,anger,surprise,anger -> surprise,0.794854462146759,anger,0.0378035753965377,0.0714761614799499,0.006001444067806,0.0466514788568019,0.0143669536337256,0.0288459546864032,0.794854462146759
dia108_utt6,Ow!,anger,surprise,anger -> surprise,0.794854462146759,anger,0.0378035753965377,0.0714761614799499,0.006001444067806,0.0466514788568019,0.0143669536337256,0.0288459546864032,0.794854462146759
dia26_utt14,"Oh, so you just sort of happened to leave it in here?",anger,surprise,anger -> surprise,0.7702658772468567,anger,0.0117838755249977,0.0010672567877918,0.0060060718096792,0.0125841470435261,0.1895494908094406,0.008743330836296,0.7702658772468567
dia111_utt0,"So, you still don’t think I’m boyfriend material?",anger,surprise,anger -> surprise,0.7644414901733398,anger,0.0497408993542194,0.0079758372157812,0.0155479675158858,0.0078327823430299,0.0638399422168731,0.0906209871172905,0.7644414901733398
dia95_utt0,I still don't get why Greg and Jenny would give us a fake number.,anger,surprise,anger -> surprise,0.7449536323547363,anger,0.0575621798634529,0.0360405668616294,0.0211742669343948,0.0171058252453804,0.074017509818077,0.049146044999361,0.7449536323547363
dia74_utt19,"I’m pregnant.  Ross?  Ross?  Okay, whenever you’re ready.  And you’re the father by the way—but you got that",anger,surprise,anger -> surprise,0.7378566861152649,anger,0.0251145884394645,0.0010205607395619,0.0141991535201668,0.0651823207736015,0.1392931491136551,0.0173334814608097,0.7378566861152649
dia49_utt3,"Yeah? Well, there's a lot of things Carol never did before I came along.",anger,surprise,anger -> surprise,0.6656275391578674,anger,0.019352538511157,0.0044644535519182,0.0082801710814237,0.0285331197082996,0.2136151641607284,0.06012699380517,0.6656275391578674
dia78_utt8,I was talking to myself! You’re going down!,anger,surprise,anger -> surprise,0.6383774876594543,anger,0.1301889568567276,0.0113483797758817,0.0065320706926286,0.1720617711544037,0.0179490260779857,0.0235422607511281,0.6383774876594543
dia72_utt0,"Tiger!  Dragon! Iceberg!!  Joseph, did you even study at all last night?",anger,surprise,anger -> surprise,0.5038588643074036,anger,0.195352092385292,0.0079071167856454,0.0077058388851583,0.2485173642635345,0.0146208945661783,0.0220378078520298,0.5038588643074036
dia20_utt6,I'm not reading this!,disgust,anger,disgust -> anger,0.9360129833221436,disgust,0.9360129833221436,0.0174491498619318,0.0257853157818317,0.0048225601203739,0.0027019495610147,0.0071470001712441,0.006081108469516
dia91_utt8,No!,disgust,anger,disgust -> anger,0.5352591872215271,disgust,0.5352591872215271,0.1046467870473861,0.0406234413385391,0.1104286685585975,0.0547479204833507,0.0775158628821373,0.0767781063914299
dia76_utt14,"Your Mom, your telling me, your telling me, about your Mom, what is the matter with you?",disgust,anger,disgust -> anger,0.4899564385414123,disgust,0.4899564385414123,0.0747561752796173,0.1072646901011467,0.01031778100878,0.010280542075634,0.1875676363706588,0.1198567673563957
dia7_utt8,She’ll drive us totally crazy.,disgust,anger,disgust -> anger,0.4783653318881988,disgust,0.4783653318881988,0.3765784204006195,0.039200447499752,0.0276463292539119,0.004891418851912,0.0676339566707611,0.0056841345503926
dia98_utt1,"Please, I'm not going for anything.",disgust,fear,disgust -> fear,0.3579891324043274,disgust,0.2527172565460205,0.2244201451539993,0.3579891324043274,0.0127841271460056,0.0186763796955347,0.1309293657541275,0.0024836040101945
dia23_utt6,I’m an idiot.,disgust,joy,disgust -> joy,0.3989641666412353,disgust,0.2434451282024383,0.2385067790746688,0.0072439694777131,0.3989641666412353,0.0187417976558208,0.0827113091945648,0.010386848822236
dia54_utt5,"See, there's always one guy.  ""If I had a wish, I'd wish for three more wishes.""",disgust,neutral,disgust -> neutral,0.9440960884094238,disgust,0.0070058763958513,0.0032412968575954,0.0006590717239305,0.0293162502348423,0.9440960884094238,0.014932014979422,0.0007492951699532
dia94_utt2,That would be no.,disgust,neutral,disgust -> neutral,0.6374686360359192,disgust,0.0674502849578857,0.0903329476714134,0.0161566976457834,0.1122345402836799,0.6374686360359192,0.0622675120830535,0.0140894306823611
dia16_utt9,"It makes him miss the bowl, but whatever.",disgust,neutral,disgust -> neutral,0.6156250834465027,disgust,0.0385421775281429,0.0733137428760528,0.0018840407719835,0.0514511987566947,0.6156250834465027,0.2171217799186706,0.0020619814749807
dia91_utt6,"Ok, would people stop drinking the breast milk?",disgust,neutral,disgust -> neutral,0.4123691618442535,disgust,0.2160320281982422,0.1437318325042724,0.0156589783728122,0.0240023452788591,0.4123691618442535,0.1844836324453354,0.0037219342775642
dia36_utt11,"I’m sorry, I just can’t go to the hospital lookin’ like this.",disgust,sadness,disgust -> sadness,0.9687051773071288,disgust,0.0030379840172827,0.0022142257075756,0.0139123396947979,0.0052824625745415,0.0052902847528457,0.9687051773071288,0.0015576164005324
dia91_utt10,Not even if Carol's breast had a picture of a missing child on it.,disgust,sadness,disgust -> sadness,0.4932965338230133,disgust,0.0231533013284206,0.0215551424771547,0.0099765351042151,0.0070293303579092,0.4429396092891693,0.4932965338230133,0.0020494977943599
dia37_utt7,Oh! Oh!,disgust,surprise,disgust -> surprise,0.9775270223617554,disgust,0.0030414364300668,0.002048346446827,0.0014149354537948,0.0060213897377252,0.0057472283951938,0.0041996226646006,0.9775270223617554
dia109_utt2,Unbelievable! I mean you really kept Joey's underwear?! Why? Why would you do that?!,disgust,surprise,disgust -> surprise,0.9762835502624512,disgust,0.0090808207169175,0.0067338347434997,0.0016903755022212,0.0023641006555408,0.0016968386480584,0.002150512766093,0.9762835502624512
dia40_utt2,"Oh! Oh, I think I’m gonna throw up a little bit. What did you say?",disgust,surprise,disgust -> surprise,0.556207001209259,disgust,0.043890293687582,0.1346907019615173,0.0965612232685089,0.0324477516114711,0.0180876031517982,0.1181154325604438,0.556207001209259
dia30_utt2,No! I won’t leave you!,fear,anger,fear -> anger,0.9185566902160645,fear,0.9185566902160645,0.0064277863129973,0.0433583781123161,0.0122795728966593,0.0031226843129843,0.0139056770130991,0.0023491301108151
dia37_utt1,"Run! Run you crazy, rich freak!",fear,anger,fear -> anger,0.879688024520874,fear,0.879688024520874,0.035278744995594,0.0213712975382804,0.0306340176612138,0.0043798815459012,0.0207053124904632,0.0079427873715758
dia18_utt4,The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard!,fear,anger,fear -> anger,0.8696574568748474,fear,0.8696574568748474,0.010635919868946,0.0081353494897484,0.0193217229098081,0.0092071453109383,0.0642134100198745,0.0188290532678365
dia15_utt8,It’s still——It’s got a tail! Get it out of here! Get it out of here!!,fear,anger,fear -> anger,0.7050378322601318,fear,0.7050378322601318,0.041145421564579,0.1146058812737464,0.0340525805950164,0.0164257101714611,0.0363571904599666,0.052375391125679
dia104_utt9,"Nothing! I said, I said ""You're so great"" and then I just, I just stopped talking!",fear,anger,fear -> anger,0.7042820453643799,fear,0.7042820453643799,0.0359669737517833,0.0527193695306777,0.0570114664733409,0.0220554862171411,0.1262197941541671,0.0017448036232963
dia108_utt1,"Oh, okay, I'm having another one!",fear,anger,fear -> anger,0.554865837097168,fear,0.554865837097168,0.0258349124342203,0.0026324158534407,0.0669764578342437,0.0105425678193569,0.0419016107916832,0.2972462177276611
dia37_utt5,No-o-o!!,fear,anger,fear -> anger,0.5520426630973816,fear,0.5520426630973816,0.1570907533168792,0.1243029609322547,0.0950540676712989,0.0152018330991268,0.0317224636673927,0.0245852004736661
dia11_utt7,"Well, what am I going to tell Monica? She wants to wear them tonight!",fear,anger,fear -> anger,0.5181627869606018,fear,0.5181627869606018,0.0133174424991011,0.0222966503351926,0.18201844394207,0.0209619961678981,0.1425723433494568,0.1006703227758407
dia104_utt11,No I didn't!,fear,anger,fear -> anger,0.4943970143795013,fear,0.4943970143795013,0.0093060871586203,0.0247566308826208,0.1844338774681091,0.065139427781105,0.0645199939608573,0.1574469059705734
dia104_utt13,No I didn't!,fear,anger,fear -> anger,0.4943970143795013,fear,0.4943970143795013,0.0093060871586203,0.0247566308826208,0.1844338774681091,0.065139427781105,0.0645199939608573,0.1574469059705734
dia30_utt1,You’ve got to get out of here! Save yourself!,fear,anger,fear -> anger,0.4297173023223877,fear,0.4297173023223877,0.0540051609277725,0.2176411896944046,0.0830647721886634,0.0528531819581985,0.0836206302046775,0.0790977105498313
dia89_utt2,Stop the bus! Wait! Wait! Wait!,fear,anger,fear -> anger,0.3225843012332916,fear,0.3225843012332916,0.0451789200305938,0.1473250389099121,0.1659871786832809,0.075921855866909,0.0878236442804336,0.1551790088415146
dia92_utt6,Noooooo!!,fear,anger,fear -> anger,0.289362370967865,fear,0.289362370967865,0.2222487330436706,0.0869216918945312,0.1269875168800354,0.0393476597964763,0.0635758191347122,0.17155621945858
dia10_utt2,"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",fear,anger,fear -> anger,0.2760007679462433,fear,0.2760007679462433,0.0072237187996506,0.1769766807556152,0.232718288898468,0.0243196804076433,0.0579211227595806,0.2248397767543792
dia108_utt12,"That was Alice's mom, she said she left five hours ago. She should be here by now!",fear,anger,fear -> anger,0.2665800452232361,fear,0.2665800452232361,0.006219811271876,0.0260135419666767,0.0900437608361244,0.2049642503261566,0.1726012229919433,0.2335773110389709
dia48_utt3,"Oh God, oh God, it’s sowed on though.",fear,disgust,fear -> disgust,0.4083849489688873,fear,0.1599087119102478,0.4083849489688873,0.0441415160894393,0.0208106245845556,0.0162492282688617,0.3191249370574951,0.0313800498843193
dia18_utt6,How bad is this?,fear,disgust,fear -> disgust,0.3556607365608215,fear,0.2340445220470428,0.3556607365608215,0.013064389117062,0.0256039574742317,0.1432428210973739,0.0571896210312843,0.1711939424276352
dia15_utt9,Ooh! Ah! Okay!,fear,joy,fear -> joy,0.7638120651245117,fear,0.0201283358037471,0.0019759328570216,0.0031061579938977,0.7638120651245117,0.0422085970640182,0.0059714261442422,0.1627975404262542
dia89_utt0,Ben!,fear,joy,fear -> joy,0.645684540271759,fear,0.1424778401851654,0.0033846953883767,0.0048136413097381,0.645684540271759,0.0604738667607307,0.0172783937305212,0.1258870959281921
dia37_utt6,"Uh-oh, Bruiser has Becker on the canvas and is going for his favourite area.",fear,neutral,fear -> neutral,0.8680151700973511,fear,0.0061003249138593,0.0029343771748244,0.0824018418788909,0.0172529127448797,0.8680151700973511,0.0183438882231712,0.0049515329301357
dia36_utt0,Easy. Easy. You have to go to the hospital. Okay?,fear,neutral,fear -> neutral,0.853757917881012,fear,0.0195907354354858,0.0029987287707626,0.052767414599657,0.0255939420312643,0.853757917881012,0.0415698811411857,0.0037213217001408
dia65_utt9,"Well, I, umm",fear,neutral,fear -> neutral,0.8263751268386841,fear,0.0069766878150403,0.001767421956174,0.0529839098453521,0.0206446796655654,0.8263751268386841,0.0805581510066986,0.0106941042467951
dia15_utt6,It’s moving.,fear,neutral,fear -> neutral,0.6263035535812378,fear,0.0416269190609455,0.0110131697729229,0.0064471950754523,0.069608025252819,0.6263035535812378,0.2187527269124984,0.0262485332787036
dia90_utt2,"I don't know, I just kinda ran into him last night.",fear,neutral,fear -> neutral,0.5857222676277161,fear,0.0117796687409281,0.0044381911866366,0.018281165510416,0.2165802866220474,0.5857222676277161,0.0571371242403984,0.1060612872242927
dia34_utt6,"You know, I, you know, can't do this.",fear,sadness,fear -> sadness,0.819421112537384,fear,0.0113150654360651,0.002419980475679,0.138925701379776,0.0144856655970215,0.0062516396865248,0.819421112537384,0.0071808882057666
dia18_utt7,"Well for the regular guy, it’s bad, but Chandler, Oh dear God!",fear,sadness,fear -> sadness,0.7738965153694153,fear,0.0421357750892639,0.0797768086194992,0.0298608634620904,0.0255429446697235,0.0134926242753863,0.7738965153694153,0.0352944917976856
